Run,PL,PF,Vr0,Kw_bar,Ta,Tb,k1_bar,K2,T1,T2,T3,T4,Fitness
1,0.6,0.75,1,0.96145,0.0045355,0.070899,0.131,0.73843,0.034698,0.089199,0.035648,0.091802,9.00E+08
1,0.6,0.76,1,0.95552,0.03683,0.095403,0.69659,0.68543,0.0049755,0.098624,0.0049352,0.076586,9.00E+08
1,0.6,0.77,1,0.63614,0.067864,0.039895,0.159,0.80661,0.027274,0.064375,0.018926,0.099382,9.00E+08
1,0.6,0.78,1,0.61636,0.05912,0.040284,0.58161,0.86498,0.087772,0.035478,0.013654,0.055496,9.00E+08
1,0.6,0.79,1,0.54917,0.0635,0.001,0.95685,0.69713,0.0084554,0.1,0.02502,0.1,9.00E+08
1,0.6,0.8,1,0.95707,0.041811,0.033927,0.17812,0.8672,0.029726,0.064959,0.021408,0.084357,9.00E+08
1,0.6,0.81,1,0.59672,0.066928,0.097117,0.55585,0.79601,0.0021572,0.035558,0.018797,0.098519,9.00E+08
1,0.6,0.82,1,0.61969,0.046794,0.029399,0.10121,0.82605,0.1,0.041392,0.020243,0.079419,9.00E+08
1,0.6,0.83,1,0.1488,0.031496,0.013998,0.24005,0.74915,0.035645,0.094883,0.013005,0.07683,9.00E+08
1,0.6,0.84,1,0.48671,0.035009,0.068231,0.43878,0.69128,0.04907,0.040484,0.0093787,0.080326,9.00E+08
1,0.6,0.85,1,0.35,0.1,0.0635,0.1,0.74649,0.001,0.1,0.001,0.1,9.00E+08
1,0.6,0.86,1,0.17923,0.084223,0.044913,0.34564,0.20208,0.032155,0.035785,0.017896,0.076539,8.00E+08
1,0.6,0.87,1,0.14784,0.04091,0.046137,0.74517,0.16542,0.038759,0.054322,0.043117,0.075786,8.00E+08
1,0.6,0.88,1,0.1,0.1,0.021782,0.61733,0.78088,0.041175,0.046647,0.0034525,0.059114,9.00E+08
1,0.6,0.89,1,0.65565,0.042871,0.060725,0.2808,0.20354,0.063257,0.0071383,0.016191,0.084638,8.00E+08
1,0.6,0.9,1,0.66185,0.092113,0.012369,0.82029,0.6375,0.020707,0.0857,0.0068412,0.088355,8.00E+08
1,0.6,0.91,1,0.49728,0.020336,0.078119,0.24575,0.17678,0.052293,0.096703,0.055324,0.080271,8.00E+08
1,0.6,0.92,1,0.1,0.034942,0.053277,0.30732,0.21858,0.018687,0.1,0.001,0.090561,8.00E+08
1,0.6,0.93,1,0.56797,0.057693,0.085229,0.84196,0.10519,0.020229,0.078366,0.053575,0.045759,8.00E+08
1,0.6,0.94,1,0.1,0.1,0.060541,0.1,0.1,0.001,0.1,0.001,0.001,8.00E+08
1,0.6,0.95,1,0.9613,0.055941,0.022342,0.33532,0.23002,0.017439,0.069347,0.067086,0.095436,8.00E+08
1,0.61,0.75,1,0.2703,0.072019,0.071412,0.30225,0.29118,0.038132,0.034822,0.011369,0.095526,8.00E+08
1,0.61,0.76,1,0.67267,0.087743,0.073085,0.64497,0.36609,0.0021597,0.063954,0.016123,0.081278,8.00E+08
1,0.61,0.77,1,0.23571,0.021874,0.085944,0.91508,0.76973,0.037479,0.095061,0.035015,0.076732,9.00E+08
1,0.61,0.78,1,0.59034,0.043174,0.082483,0.36954,0.82564,0.060753,0.031213,0.0027867,0.079462,9.00E+08
1,0.61,0.79,1,0.8125,0.083441,0.1,0.49006,0.73728,0.0022541,0.063474,0.021057,0.1,9.00E+08
1,0.61,0.8,1,0.6962,0.037532,0.02987,0.32376,0.58275,0.025936,0.084552,0.021249,0.084765,7.00E+08
1,0.61,0.81,1,0.21785,0.044298,0.019931,0.12501,0.75916,0.066712,0.074792,0.019552,0.086587,9.00E+08
1,0.61,0.82,1,0.56701,0.039741,0.0070717,0.29468,0.71648,0.013967,0.076426,0.0025362,0.078767,9.00E+08
1,0.61,0.83,1,0.54044,0.0067756,0.024487,0.25072,0.16141,0.01569,0.058443,0.027401,0.094748,8.00E+08
1,0.61,0.84,1,0.5183,0.099995,0.096375,0.33851,0.7899,0.07623,0.089635,0.031793,0.097221,9.00E+08
1,0.61,0.85,1,0.34556,0.058717,0.085116,0.19406,0.81048,0.085773,0.059144,0.034695,0.1,9.00E+08
1,0.61,0.86,1,0.43893,0.070968,0.0931,0.73128,0.83812,0.004333,0.016069,0.031449,0.089053,9.00E+08
1,0.61,0.87,1,0.10098,0.1,0.058456,0.28502,0.38222,0.001,0.0019766,0.001,0.090362,8.00E+08
1,0.61,0.88,1,0.85359,0.034848,0.067201,0.7092,0.26695,0.0015335,0.085404,0.041309,0.085163,8.00E+08
1,0.61,0.89,1,0.23904,0.024284,0.001,0.45749,0.82472,0.0022294,0.088081,0.013606,0.080061,9.00E+08
1,0.61,0.9,1,0.34946,0.078208,0.04789,0.23851,0.51892,0.030208,0.079027,0.019299,0.085575,7.00E+08
1,0.61,0.91,1,0.95033,0.1,0.030229,0.30281,0.73733,0.032829,0.064148,0.0067478,0.098589,9.00E+08
1,0.61,0.92,1,0.27278,0.093886,0.091274,0.62912,0.29929,0.0043466,0.059707,0.01257,0.056915,8.00E+08
1,0.61,0.93,1,0.57086,0.01157,0.022959,0.97787,0.77189,0.053997,0.03972,0.0090872,0.08388,9.00E+08
1,0.61,0.94,1,0.12508,0.043502,0.030706,0.73591,0.2678,0.098927,0.0016719,0.023825,0.046692,8.00E+08
1,0.61,0.95,1,0.95297,0.03606,0.0064226,0.28721,0.1676,0.055218,0.087794,0.099943,0.092671,8.00E+08
1,0.62,0.75,1,0.16666,0.055475,0.043984,0.48328,0.6638,0.049499,0.075426,0.017015,0.079483,9.00E+08
